account_id,first_name,last_name,password,balance_checking,balance_savings,account_status,overdraft_fee
10001,suresh,sigera,juagw362,1000,15100.0,activated,0
10002,james,taylor,idh36%@#FGd,7000.0,13000.0,activated,0
10003,melvin,gordon,uYWE732g4ga1,1000.0,21000.0,activated,0
10004,stacey,abrams,DEU8_qw3y72$,2000,20000,activated,0
10005,jake,paul,d^dg23g)@,100000,100000,activated,0
844,flf,flf,u4u4u4u4u,84.0,44,activated,0
122,ldd,dle,kdkwkski9,22,22,activated,0
27272,tkt,tlt,4u4j4j4j4,38,33,activated,0
37373,sks,ks,u3heiei3e,833,33,activated,0
37838,fn,dk,3l3l3l3le,33,44,activated,0
85895,fkff,fkrk,73ye7e7eu,474,449,activated,0
37383,dld,cld,2l2l2l2l2,28.0,22.3,activated,0
38833,ker,lrr,38k3k3jdl,200,9.0,not_activated,0
25262,jana,lf,ke4i4iwji,178.14,9.44,activated,0
28262,jana,sandeyouni,3u83j8eu3,1720.0,19.0,activated,0
